No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,11/04/2023,Vente,359000.0,38.0,,RUE,0169,DU BOIS VERT,40230.0,BENESSE-MAREMNE,40,36,,AB,1127,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,S,,201.0
1,24/11/2023,Vente,120000.0,9015.0,,RTE,9030,DES SABLES,85300.0,CHALLANS,85,47,,AM,399,,315.0,,326.0,"46,38",,,,,,,2,2.0,Appartement,46.0,2.0,,,
1,08/12/2023,Vente,45000.0,,,,B098,LE MOULIN GUERIN,85150.0,LANDERONDE,85,118,,ZI,197,,,,,,,,,,,,0,,,,,E,,5174.0
1,04/07/2023,Vente,46739.0,,,,B012,LES HAYETTES,62187.0,DANNES,62,264,,AI,283,,,,,,,,,,,,0,,,,,P,,461.0
1,27/11/2023,Vente,165000.0,85.0,B,RUE,0360,CARNUS,12000.0,RODEZ,12,202,,AK,828,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,J,POTAG,392.0
1,14/12/2023,Vente,291525.0,1.0,,RUE,0152,DES EGLANTINES,35310.0,CINTRE,35,80,,B,2586,,,,,,,,,,,,0,,,,,AB,,515.0
1,23/03/2023,Vente,96100.0,108.0,,ALL,0123,DE L ILIADE,34280.0,LA GRANDE MOTTE,34,344,,AB,20,,48.0,,,,,,,,,,1,2.0,Appartement,24.0,2.0,,,
1,04/08/2023,Vente,110000.0,,,,B149,LE PETIT BOIS BLANC,85420.0,SAINT-PIERRE-LE-VIEUX,85,265,,F,411,,,,,,,,,,,,0,,,,,BT,,1670.0
1,26/07/2023,Vente,169900.0,241.0,,RUE,0860,EMILE COMBES,33700.0,MERIGNAC,33,281,,CO,476,,28.0,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,19/06/2023,Vente,291000.0,305.0,E,RUE,0025,DE LA BRUYERE,76190.0,ETOUTTEVILLE,76,253,,ZM,145,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,AG,,501.0
1,30/06/2023,Vente,195000.0,42.0,C,RUE,0611,DES JAVAUX,38320.0,EYBENS,38,158,,AL,204,,105.0,,159.0,"74,00",,,,,,,2,2.0,Appartement,74.0,3.0,,,
1,14/10/2023,Vente,40000.0,,,RUE,0087,DU 8 MAI 1945,3370.0,SAINT-SAUVIER,3,259,,B,1009,,,,,,,,,,,,0,,,,,S,,100.0
1,02/08/2023,Vente,342908.7,151.0,,RUE,0364,DES BOHAIRES,40160.0,PARENTIS EN BORN,40,217,,AH,832,,,,,,,,,,,,0,1.0,Maison,99.0,5.0,S,,460.0
1,07/07/2023,Vente,25000.0,1.0,,AV,0100,EMILE JAMAIS,30250.0,SOMMIERES,30,321,,AC,696,,33.0,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,26/07/2023,Vente,217550.0,15.0,,RUE,0748,DU VELAY,42800.0,RIVE-DE-GIER,42,186,,BE,178,,,,,,,,,,,,0,1.0,Maison,83.0,5.0,S,,306.0
1,05/08/2023,Vente,90000.0,16.0,,,B143,MONTCHENON,87290.0,SAINT-AMAND-MAGNAZEIX,87,133,,YC,195,,,,,,,,,,,,0,1.0,Maison,120.0,5.0,S,,393.0
1,23/10/2023,Vente,461500.0,2615.0,,CHE,0028,DE LA BOURGEOTERIE,14340.0,CAMBREMER,14,126,561.0,B,160,,,,,,,,,,,,0,,,,,P,,15420.0
1,02/08/2023,Vente,60000.0,,,,B037,A MONGES,32330.0,LAGRAULET-DU-GERS,32,180,,C,560,,,,,,,,,,,,0,,,,,P,,2650.0
1,19/04/2023,Vente,299000.0,,,,B018,LE MAS,34160.0,RESTINCLIERES,34,227,,AB,200,,,,,,,,,,,,0,,,,,J,POTAG,690.0
1,02/03/2023,Vente,99400.0,,,,B087,ROSCAT,63730.0,LES MARTRES DE VEYRE,63,214,,AM,327,,,,,,,,,,,,0,,,,,S,,1270.0
1,02/08/2023,Vente,137500.0,46.0,,AV,0920,DE LA REPUBLIQUE,16340.0,L'ISLE D'ESPAGNAC,16,166,,AX,27,,,,,,,,,,,,0,1.0,Maison,70.0,4.0,S,,395.0
1,24/04/2023,Vente,61000.0,51.0,,RUE,8490,TIBLIER VERNE,42000.0,SAINT-ETIENNE,42,218,,DM,24,,16.0,,19,,30,,31.0,,,,4,3.0,Dépendance,0.0,0.0,,,
1,30/03/2023,Vente,288.0,,,,B020,LA FOURCHERIE,19110.0,SARROUX-SAINT JULIEN,19,252,,AS,119,,,,,,,,,,,,0,,,,,L,BRUY,1440.0
1,30/06/2023,Vente,135000.0,,,,B191,CHAMP DU MOULIN,79190.0,ALLOINAY,79,136,6.0,A,386,,,,,,,,,,,,0,,,,,T,,15080.0
1,21/03/2023,Vente,4760.0,,,,B035,VIGNES BLANCHES,21420.0,PERNAND-VERGELESSES,21,480,,AD,11,,,,,,,,,,,,0,,,,,T,,119.0
1,07/11/2023,Vente,288750.0,5213.0,C,,B136,TRIGODINAS,12200.0,LA ROUQUETTE,12,205,,D,1500,,,,,,,,,,,,0,1.0,Maison,144.0,6.0,S,,1500.0
1,29/09/2023,Vente,86850.0,8.0,,IMP,0269,JEAN DORAT,84130.0,LE PONTET,84,92,,AO,481,,21.0,"74,87",7.0,,,,,,,,2,3.0,Dépendance,0.0,0.0,,,
1,31/03/2023,Vente,90000.0,26.0,,RUE,2493,DE BELGIQUE,50120.0,CHERBOURG-EN-COTENTIN,50,129,173.0,BV,725,,,,,,,,,,,,0,2.0,Appartement,43.0,1.0,S,,219.0
1,10/10/2023,Vente,58000.0,5.0,,RUE,0130,ROBERT BILLET,60190.0,NEUFVY SUR ARONDE,60,449,,B,359,,,,,,,,,,,,0,,,,,S,,326.0
1,23/02/2023,Vente,24280.0,,,,B059,MAS DES BROUSSILLES,17510.0,NERE,17,257,,ZW,34,,,,,,,,,,,,0,,,,,S,,100.0
1,10/10/2023,Vente,15000.0,4.0,,QUAI,0332,DES BONS ENFANTS,88000.0,EPINAL,88,160,,AB,130,,44,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,30/06/2023,Vente,676860.0,2.0,,AV,0480,DE BUZENVAL,92500.0,RUEIL-MALMAISON,92,63,,BC,115,,186.0,,187.0,,32.0,"97,09",84.0,,,,4,2.0,Appartement,97.0,5.0,,,
1,21/04/2023,Vente,60000.0,,,,B045,LES BRUNETS,16420.0,BRIGUEUIL,16,64,,A,682,,,,,,,,,,,,0,,,,,S,,1200.0
1,13/07/2023,Vente,4444.0,25.0,,RTE,0050,D EBREUIL,3450.0,VICQ,3,311,,AA,66,,,,,,,,,,,,0,1.0,Maison,24.0,1.0,S,,834.0
1,23/06/2023,Vente,300000.0,7.0,T,IMP,0036,DES PUITS,14400.0,SOMMERVIEU,14,676,,ZE,184,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,J,,1000.0
1,11/12/2023,Vente,17000.0,,,,B279,LES VIGNES DE GATE BOURSE,86400.0,BLANZAY,86,29,,ZX,33,,,,,,,,,,,,0,,,,,T,,3200.0
1,06/10/2023,Vente,213000.0,22.0,,RUE,0040,ANGLAISE,62340.0,CAMPAGNE LES GUINES,62,203,,AD,235,,,,,,,,,,,,0,1.0,Maison,168.0,7.0,S,,685.0
1,06/10/2023,Vente,119500.0,,,,B127,PARIOT,73410.0,LA BIOLLE,73,43,,B,4155,,,,,,,,,,,,0,,,,,P,,1217.0
1,12/09/2023,Vente,122000.0,27.0,,AV,1880,F.LIBRES - RTE CORNICHE,29660.0,CARANTEC,29,23,,B,1929,,10.0,"34,56",32.0,,63.0,,,,,,3,3.0,Dépendance,0.0,0.0,,,
1,07/03/2023,Vente,170000.0,109.0,,CRS,0290,JEAN JAURES,38130.0,ECHIROLLES,38,151,,AM,11,,,,,,,,,,,,0,,,,,S,,307.0
1,26/09/2023,Vente,250000.0,2920.0,,RTE,0490,DE RETISSINGE,1290.0,BIZIAT,1,46,,A,1170,,,,,,,,,,,,0,,,,,S,,486.0
1,07/07/2023,Vente,336000.0,880.0,,RTE,0061,DU CAMPING,71480.0,CHAMPAGNAT,71,79,,AK,236,,,,,,,,,,,,0,2.0,Appartement,65.0,3.0,S,,1000.0
1,30/08/2023,Vente,122000.0,,,,D258,LE COUDRAY,44370.0,LOIREAUXENCE,44,213,11.0,ZR,195,,,,,,,,,,,,0,,,,,S,,1598.0
